brand,model,name,year,unique__id,price,number_images,body_type,km,vehicle_engine
Vespa,125 (VN),1957 Vespa 125 (VN),1957,7bbf9549a1a4c82eb9b195ce27877a2d63fc298dd365c652bcb5780721cab569,50000,18,Scooters,,124
Vespa,LX S 125,2008 Vespa LX S 125,2008,a8ef61a6879102ea0a6174acdd09903edb3c78ba693767746665ebfb605925f8,2300,3,Scooters,30500,124
Kymco,Like 125,2010 Kymco Like 125,2010,1ae6c9aead4ff5c89229d9a452922ff0d6d8045244b23f3db3164ab539356731,2000,8,Scooters,7647,124
Yamaha,TT-R125E,2017 Yamaha TT-R125E,2017,a20ce06f4e859445c2c92db5e68b7c8721f4d7b1bfcc2c3977cb35addd5b4bbb,2999,3,Fun,,124
Yamaha,TT-R125E,2008 Yamaha TT-R125E,2008,93205b9f0cc38adce25def800cb23ddb85310832aea704d9080d8cce7a4d503a,2350,5,Fun,,124
Suzuki,GS125 ESD,1985 Suzuki GS125 ESD,1985,3c6d13b8a1fa9b9ae28ce592eec4855c8104fa3c89aa81585b49b608f30971be,2700,3,Naked,450,124
Aprilia,SR MT 125,2013 Aprilia SR MT 125,2013,0e38430a08e18c03addca85e5d01cd58f55e44524facf1a87b42864ed1598ebb,2400,6,Scooters,3658,124
Bolwell Scoota,Arriba 125,2007 Bolwell Scoota Arriba 125,2007,103dc46c5de92a278401382b617b0241aea6b9ef76c29aa614f27c256f810afa,1250,8,Scooters,34102,124
Torino,Famosa 125,2018 Torino Famosa 125,2018,b715b77f988a34d47a12c78528b450a6d2c6085e4a5ea12467a24f3560df1c69,2550,3,Scooters,500,124
IKONIK,Legend 125,2018 IKONIK Legend 125,2018,6176b3be0e66abb99d1fd191ba22391c16a48ba4c246c4abab1a8105b386c36b,3800,3,Scooters,10,124
Yamaha,TT-R125LWE,2011 Yamaha TT-R125LWE,2011,63e0b6572ca767df827930da8b6269bbdaa7adda62d6484767a57871285e8db2,2200,8,Fun,,124
